frame,time,F,A,G
0,0.0,0.3,0.3,0.3
1,0.03918495297805643,0.3,0.3,0.3
2,0.07836990595611286,0.3,0.3,0.3
3,0.11755485893416928,0.3,0.3,0.3
4,0.15673981191222572,0.3,0.3,0.3
5,0.19592476489028213,0.3,0.3,0.3
6,0.23510971786833856,0.3,0.3,0.3
7,0.274294670846395,0.3,0.3,0.3
8,0.31347962382445144,0.3,0.3,0.3
9,0.35266457680250785,0.3,0.3,0.3
10,0.39184952978056425,0.3,0.3,0.3
11,0.43103448275862066,0.3,0.3,0.3
12,0.4702194357366771,0.3,0.3,0.3
13,0.5094043887147336,0.3,0.3,0.3
14,0.54858934169279,0.3,0.3,0.3
15,0.5877742946708464,0.3,0.3,0.3
16,0.6269592476489029,0.3,0.3,0.3
17,0.6661442006269592,0.3,0.3,0.3
18,0.7053291536050157,0.3,0.3,0.3
19,0.7445141065830722,0.3,0.3,0.3
20,0.7836990595611285,0.3,0.3,0.3
21,0.822884012539185,0.3,0.3,0.3
22,0.8620689655172413,0.3,0.3,0.3
23,0.9012539184952978,0.3,0.3,0.3
24,0.9404388714733543,0.3,0.3,0.3
25,0.9796238244514106,0.3,0.3,0.3
26,1.0188087774294672,0.3,0.3,0.3
27,1.0579937304075235,0.3,0.3,0.3
28,1.09717868338558,0.3,0.3,0.3
29,1.1363636363636365,0.3,0.3,0.3
30,1.1755485893416928,0.3,0.3,0.3
31,1.2147335423197492,0.3,0.3,0.3
32,1.2539184952978057,0.3,0.3,0.3
33,1.293103448275862,0.3,0.3,0.3
34,1.3322884012539185,0.3,0.3,0.3
35,1.371473354231975,0.3,0.3,0.3
36,1.4106583072100314,0.3,0.3,0.3
37,1.4498432601880877,0.3,0.3,0.3
38,1.4890282131661443,0.3,0.3,0.3
39,1.5282131661442007,0.3,0.3,0.3
40,1.567398119122257,0.3,0.3,0.3
41,1.6065830721003134,0.3,0.3,0.3
42,1.64576802507837,0.3,0.3,0.3
43,1.6849529780564263,0.3,0.3,0.3
44,1.7241379310344827,0.3,0.3,0.3
45,1.7633228840125392,0.3,0.3,0.3
46,1.8025078369905956,0.3,0.3,0.3
47,1.841692789968652,0.3,0.3,0.3
48,1.8808777429467085,0.3,0.3,0.3
49,1.9200626959247649,0.3,0.3,0.3
50,1.9592476489028212,0.3,0.3,0.3
51,1.9984326018808778,0.3,0.3,0.3
52,2.0376175548589344,0.3,0.3,0.3
53,2.0768025078369905,0.3,0.3,0.3
54,2.115987460815047,0.3,0.3,0.3
55,2.1551724137931036,0.3,0.3,0.3
56,2.19435736677116,0.3,0.3,0.3
57,2.2335423197492164,0.3,0.3,0.3
58,2.272727272727273,0.3,0.3,0.3
59,2.311912225705329,0.3,0.3,0.3
60,2.3510971786833856,0.3,0.3,0.3
61,2.390282131661442,0.3,0.3,0.3
62,2.4294670846394983,0.3,0.3,0.3
63,2.468652037617555,0.3,0.3,0.3
64,2.5078369905956115,0.3,0.3,0.3
65,2.5470219435736676,0.3,0.3,0.3
66,2.586206896551724,0.3,0.3,0.3
67,2.6253918495297808,0.3,0.3,0.3
68,2.664576802507837,0.3,0.3,0.3
69,2.7037617554858935,0.3,0.3,0.3
70,2.74294670846395,0.3,0.3,0.3
71,2.782131661442006,0.3,0.3,0.3
72,2.8213166144200628,0.3,0.3,0.3
73,2.8605015673981193,0.3,0.3,0.3
74,2.8996865203761755,0.3,0.3,0.3
75,2.938871473354232,0.3,0.3,0.3
76,2.9780564263322886,0.3,0.3,0.3
77,3.0172413793103448,0.3,0.3,0.3
78,3.0564263322884013,0.3,0.3,0.3
79,3.095611285266458,0.3,0.3,0.3
80,3.134796238244514,0.3,0.3,0.3
81,3.1739811912225706,0.3,0.3,0.3
82,3.2131661442006267,0.3,0.3,0.3
83,3.2523510971786833,0.3,0.3,0.3
84,3.29153605015674,0.3,0.3,0.3
85,3.330721003134796,0.3,0.3,0.3
86,3.3699059561128526,0.3,0.3,0.3
87,3.409090909090909,0.3,0.3,0.3
88,3.4482758620689653,0.3,0.3,0.3
89,3.487460815047022,0.3,0.3,0.3
90,3.5266457680250785,0.3,0.3,0.3
91,3.5658307210031346,0.3,0.3,0.3
92,3.605015673981191,0.3,0.3,0.3
93,3.6442006269592477,0.3,0.3,0.3
94,3.683385579937304,0.3,0.3,0.3
95,3.7225705329153604,0.3,0.3,0.3
96,3.761755485893417,0.3,0.3,0.3
97,3.800940438871473,0.3,0.3,0.3
98,3.8401253918495297,0.3,0.3,0.3
99,3.8793103448275863,0.3,0.3,0.3
100,3.9184952978056424,0.3,0.3,0.3
101,3.957680250783699,0.3,0.3,0.3
102,3.9968652037617556,0.3,0.3,0.3
103,4.036050156739812,0.3,0.3,0.3
104,4.075235109717869,0.3,0.3,0.3
105,4.114420062695925,0.3,0.3,0.3
106,4.153605015673981,0.3,0.3,0.3
107,4.192789968652038,0.3,0.3,0.3
108,4.231974921630094,0.3,0.3,0.3
109,4.27115987460815,0.3,0.3,0.3
110,4.310344827586207,0.3,0.3,0.3
111,4.349529780564263,0.3,0.3,0.3
112,4.38871473354232,0.3,0.3,0.3
113,4.427899686520377,0.3,0.3,0.3
114,4.467084639498433,0.3,0.3,0.3
115,4.506269592476489,0.3,0.3,0.3
116,4.545454545454546,0.3,0.3,0.3
117,4.584639498432602,0.3,0.3,0.3
118,4.623824451410658,0.3,0.3,0.3
119,4.663009404388715,0.3,0.3,0.3
