car_id,F_text,F_accepted,A_text,A_accepted,G_text,G_accepted
5,,0,,0,,0
3,AUBE-567,10,AUBE-567,10,AUBE-567,10
7,,0,,0,,0
9,,0,,0,,0
10,,0,,0,,0
16,,0,,0,,0
2,,0,,0,,0
4,,0,,0,,0
1,PCS-889,6,PCS-889,6,PCS-889,6
15,PCS-889,2,PCS-889,2,PCS-889,2
6,,0,,0,,0
14,,0,,0,,0
8,,0,,0,,0
19,,0,,0,,0
20,,0,,0,,0
22,,0,,0,,0
18,NHP-726,1,NHP-726,1,NHP-726,1
23,,0,,0,,0
11,,0,,0,,0
17,,0,,0,,0
25,,0,,0,,0
27,,0,,0,,0
26,,0,,0,,0
28,,0,,0,,0
29,,0,,0,,0
30,,0,,0,,0
34,,0,,0,,0
32,,0,,0,,0
37,,0,,0,,0
35,,0,,0,,0
40,,0,,0,,0
33,,0,,0,,0
39,,0,,0,,0
36,,0,,0,,0
42,,0,,0,,0
44,,0,,0,,0
38,,0,,0,,0
41,,0,,0,,0
24,,0,,0,,0
45,,0,,0,,0
47,,0,,0,,0
43,,0,,0,,0
21,AAKT-740,20,AAKT-740,19,AAKT-740,20
46,,0,,0,,0
13,,0,,0,,0
55,,0,,0,,0
51,,0,,0,,0
50,AAKI-740,12,AAKI-740,11,AAKI-740,12
56,,0,,0,,0
52,,0,,0,,0
53,,0,,0,,0
59,,0,,0,,0
57,,0,,0,,0
60,,0,,0,,0
54,,0,,0,,0
31,,0,,0,,0
66,,0,,0,,0
49,,0,,0,,0
67,,0,,0,,0
12,IEV-508,22,IEV-508,4,IEV-508,4
63,,0,,0,,0
70,,0,,0,,0
68,,0,,0,,0
58,,0,,0,,0
72,,0,,0,,0
61,,0,,0,,0
65,LHM-181,7,,0,,0
62,,0,,0,,0
69,,0,,0,,0
64,SDS-197,13,SDS-197,12,SDS-197,12
75,,0,,0,,0
76,,0,,0,,0
77,SDS-197,4,SDS-197,4,SDS-197,4
78,SDS-197,2,SDS-197,2,SDS-197,2
79,,0,,0,,0
73,,0,,0,,0
74,AIEY-881,7,AIEY-881,7,AIEY-881,7
83,,0,,0,,0
82,AIEY-881,5,AIEY-881,5,AIEY-881,5
85,,0,,0,,0
89,,0,,0,,0
80,,0,,0,,0
86,,0,,0,,0
94,,0,,0,,0
91,,0,,0,,0
96,,0,,0,,0
71,,0,,0,,0
88,,0,,0,,0
81,,0,,0,,0
92,,0,,0,,0
93,,0,,0,,0
95,,0,,0,,0
84,KTM-724,19,KTM-724,19,KTM-724,19
87,,0,,0,,0
98,,0,,0,,0
101,,0,,0,,0
103,,0,,0,,0
97,KDK-366,4,KDK-366,4,KDK-366,4
48,RHH-757,7,RHH-757,6,RHH-757,6
105,,0,,0,,0
106,,0,,0,,0
107,,0,,0,,0
109,,0,,0,,0
102,KGU-710,20,KGU-710,20,KGU-710,20
100,,0,,0,,0
112,,0,,0,,0
111,,0,,0,,0
110,AELM-653,11,AELM-653,11,AELM-653,11
113,AELM-653,4,AELM-653,4,AELM-653,4
114,,0,,0,,0
90,,0,,0,,0
99,,0,,0,,0
104,,0,,0,,0
108,,0,,0,,0
115,,0,,0,,0
116,HLE-072,17,HLE-072,17,HLE-072,17
117,,0,,0,,0
118,,0,,0,,0
119,,0,,0,,0
120,,0,,0,,0
121,,0,,0,,0
