id,raw_hash_mismatch,semantic_hash_mismatch,prediction_mismatch,segment_count_mismatch,selected_boxes_mismatch
train_000251_combo_QIK477,1,0,0,0,0
train_003637_blur_ELI721,1,0,0,0,0
train_001543_broken_IPA038,1,0,0,0,0
train_003123_clean_IZL252,1,0,0,0,0
train_002687_threshold_AWO123,1,0,0,0,0
train_003098_glare_AJR743,1,0,0,0,0
train_001096_compression_TWX331,1,0,0,0,0
train_001248_perspective_FDV067,1,0,0,0,0
test_004148_combo_EXT043,1,0,0,0,0
train_001326_touch_WGR550,1,0,0,0,0
train_002877_perspective_CAK656,1,0,0,0,0
test_004519_blur_CVS112,1,0,0,0,0
test_004527_clean_HOF413,1,0,0,0,0
train_002518_compression_LPQ548,1,0,0,0,0
test_004556_glare_XAF810,1,0,0,0,0
test_004792_broken_SCQ851,1,0,0,0,0
train_000509_threshold_JOO326,1,0,0,0,0
test_004566_touch_YRM953,1,0,0,0,0
train_000877_broken_YZF898,1,0,0,0,0
train_000675_clean_EEL689,1,0,0,0,0
train_002041_compression_VOY189,1,0,0,0,0
train_001711_blur_XSE527,1,0,0,0,0
train_002807_combo_WZN202,1,0,0,0,0
train_001127_glare_BBU168,1,0,0,0,0
train_001488_touch_MDM964,1,0,0,0,0
train_002715_perspective_AKY184,1,0,0,0,0
test_004784_threshold_IXI499,1,0,0,0,0
train_002827_blur_ICQ291,1,0,0,0,0
train_000409_broken_GQP800,1,0,0,0,0
train_000530_combo_PWG656,1,0,0,0,0
train_002502_clean_WSI093,1,0,0,0,0
train_000727_compression_SFX248,1,0,0,0,0
train_001181_glare_DSE215,1,0,0,0,0
train_003129_perspective_MFB400,1,0,0,0,0
test_004703_threshold_CDF666,1,0,0,0,0
train_002100_touch_OIC982,1,0,0,0,0
test_004933_blur_PLO248,1,0,0,0,0
train_002808_clean_CJG077,1,0,0,0,0
train_002978_combo_FCH397,1,0,0,0,0
train_001192_broken_PSX719,1,0,0,0,0
train_003085_compression_THS837,1,0,0,0,0
train_000587_glare_MPF746,1,0,0,0,0
train_003488_threshold_QNZ779,1,0,0,0,0
train_002760_perspective_SVK562,1,0,0,0,0
train_002082_touch_TRJ526,1,0,0,0,0
train_002404_blur_YBC491,1,0,0,0,0
train_001512_clean_GJY268,1,0,0,0,0
test_004891_broken_MQJ777,1,0,0,0,0
train_001304_combo_CVM233,1,0,0,0,0
train_001573_compression_JHY022,1,0,0,0,0
