coordinate,base_value,base_step,scale,minus_value,plus_value,minus_normalized_radius,plus_normalized_radius,n,active_fraction,mean_ref_plus_discrepancy,mean_ref_minus_discrepancy,mean_central_discrepancy,mean_response_discrepancy,max_response_discrepancy,central_sensitivity,response_sensitivity,informative
cut.min_rel_width_for_split,1.6,0.1,8.0,0.8,2.4000000000000004,8.0,8.000000000000002,200,0.03,0.0,0.006679801488305325,0.006679801488305325,0.006679801488305325,0.3541666666666667,6.92811254623126e-06,2.771245018492504e-05,True
cut.min_rel_width_for_split,1.6,0.1,16.0,0.5,3.2,11.0,16.0,200,0.03,0.0,0.006679801488305325,0.006679801488305325,0.006679801488305325,0.3541666666666667,2.4329174373596744e-06,1.465782489120002e-05,True
cut.max_column_sum_quantile,0.2,0.025,8.0,0.001,0.4,7.96,8.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
cut.max_column_sum_quantile,0.2,0.025,16.0,0.001,0.499,7.96,11.959999999999999,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_overlap,10.0,1.0,8.0,2.0,18.0,8.0,8.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_overlap,10.0,1.0,16.0,0.0,26.0,10.0,16.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.w_prior,2.0,0.25,8.0,0.0,4.0,8.0,8.0,200,0.045,0.0,0.010779956133686526,0.010779956133686526,0.010779956133686526,0.4127567829457364,1.0915200988753264e-05,4.3660803955013055e-05,True
scoring.w_prior,2.0,0.25,16.0,0.0,6.0,8.0,16.0,200,0.045,0.0,0.010779956133686526,0.010779956133686526,0.010779956133686526,0.4127567829457364,4.851200439445895e-06,4.3660803955013055e-05,True
scoring.rho_max,0.75,0.025,8.0,0.55,0.95,7.999999999999998,7.999999999999998,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.rho_max,0.75,0.025,16.0,0.35,0.99,16.0,9.6,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
scoring.blocking_gap_ratio,0.05,0.01,8.0,0.0,0.13,5.0,8.0,200,0.045,0.002343396526641207,0.010779956133686526,0.009503057032868488,0.010779956133686526,0.4127567829457364,1.4499000583249428e-05,0.00011177165812483342,True
scoring.blocking_gap_ratio,0.05,0.01,16.0,0.0,0.21000000000000002,5.0,16.000000000000004,200,0.045,0.0033178337871776053,0.010779956133686526,0.008528619772332088,0.010779956133686526,0.4127567829457364,5.125729115276722e-06,0.00011177165812483342,True
