delta_W,informative_events,harm_events,harm_rate,harm_upper_exact_one_sided,nonzero_commits,update_coverage,eligible
0.0,84,0,0.0,0.03503503060494201,0,0.0,0
0.5,84,0,0.0,0.03503503060494201,83,0.9880952380952381,1
1.0,84,0,0.0,0.03503503060494201,83,0.9880952380952381,1
1.5,84,0,0.0,0.03503503060494201,83,0.9880952380952381,1
2.0,84,0,0.0,0.03503503060494201,83,0.9880952380952381,1
2.5,84,0,0.0,0.03503503060494201,83,0.9880952380952381,1
3.0,84,0,0.0,0.03503503060494201,83,0.9880952380952381,1
3.5,84,0,0.0,0.03503503060494201,84,1.0,1
4.0,84,0,0.0,0.03503503060494201,84,1.0,1
4.5,84,0,0.0,0.03503503060494201,84,1.0,1
5.0,84,0,0.0,0.03503503060494201,84,1.0,1
5.5,84,0,0.0,0.03503503060494201,84,1.0,1
6.0,84,0,0.0,0.03503503060494201,84,1.0,1
6.5,84,0,0.0,0.03503503060494201,84,1.0,1
7.0,84,0,0.0,0.03503503060494201,84,1.0,1
7.5,84,0,0.0,0.03503503060494201,84,1.0,1
8.0,84,0,0.0,0.03503503060494201,84,1.0,1
8.5,84,0,0.0,0.03503503060494201,84,1.0,1
9.0,84,0,0.0,0.03503503060494201,84,1.0,1
9.5,84,0,0.0,0.03503503060494201,84,1.0,1
10.0,84,0,0.0,0.03503503060494201,84,1.0,1
10.5,84,0,0.0,0.03503503060494201,84,1.0,1
11.0,84,0,0.0,0.03503503060494201,84,1.0,1
11.5,84,0,0.0,0.03503503060494201,84,1.0,1
12.0,84,0,0.0,0.03503503060494201,84,1.0,1
