sample_id,plate,split,perturbation,image_path,mask_path,width,height,n_chars
train_000000_clean_UPW443,UPW443,train,clean,images/train_000000_clean_UPW443.png,masks/train_000000_clean_UPW443_mask.png,240,80,6
train_000001_blur_BVO507,BVO507,train,blur,images/train_000001_blur_BVO507.png,masks/train_000001_blur_BVO507_mask.png,240,80,6
train_000002_glare_IRB207,IRB207,train,glare,images/train_000002_glare_IRB207.png,masks/train_000002_glare_IRB207_mask.png,240,80,6
train_000003_touch_KYB651,KYB651,train,touch,images/train_000003_touch_KYB651.png,masks/train_000003_touch_KYB651_mask.png,240,80,6
train_000004_broken_GJW910,GJW910,train,broken,images/train_000004_broken_GJW910.png,masks/train_000004_broken_GJW910_mask.png,240,80,6
train_000005_threshold_ZEW590,ZEW590,train,threshold,images/train_000005_threshold_ZEW590.png,masks/train_000005_threshold_ZEW590_mask.png,240,80,6
train_000006_perspective_STQ790,STQ790,train,perspective,images/train_000006_perspective_STQ790.png,masks/train_000006_perspective_STQ790_mask.png,240,80,6
train_000007_compression_EBT781,EBT781,train,compression,images/train_000007_compression_EBT781.png,masks/train_000007_compression_EBT781_mask.png,240,80,6
train_000008_combo_JZP393,JZP393,train,combo,images/train_000008_combo_JZP393.png,masks/train_000008_combo_JZP393_mask.png,240,80,6
train_000009_clean_IRB207,IRB207,train,clean,images/train_000009_clean_IRB207.png,masks/train_000009_clean_IRB207_mask.png,240,80,6
train_000010_blur_CRA541,CRA541,train,blur,images/train_000010_blur_CRA541.png,masks/train_000010_blur_CRA541_mask.png,240,80,6
train_000011_glare_XGS543,XGS543,train,glare,images/train_000011_glare_XGS543.png,masks/train_000011_glare_XGS543_mask.png,240,80,6
train_000012_touch_JPQ652,JPQ652,train,touch,images/train_000012_touch_JPQ652.png,masks/train_000012_touch_JPQ652_mask.png,240,80,6
train_000013_broken_ZPD786,ZPD786,train,broken,images/train_000013_broken_ZPD786.png,masks/train_000013_broken_ZPD786_mask.png,240,80,6
train_000014_threshold_VYG144,VYG144,train,threshold,images/train_000014_threshold_VYG144.png,masks/train_000014_threshold_VYG144_mask.png,240,80,6
train_000015_perspective_WBQ087,WBQ087,train,perspective,images/train_000015_perspective_WBQ087.png,masks/train_000015_perspective_WBQ087_mask.png,240,80,6
train_000016_compression_ANG909,ANG909,train,compression,images/train_000016_compression_ANG909.png,masks/train_000016_compression_ANG909_mask.png,240,80,6
train_000017_combo_GMF170,GMF170,train,combo,images/train_000017_combo_GMF170.png,masks/train_000017_combo_GMF170_mask.png,240,80,6
train_000018_clean_ZVH518,ZVH518,train,clean,images/train_000018_clean_ZVH518.png,masks/train_000018_clean_ZVH518_mask.png,240,80,6
train_000019_blur_IQU982,IQU982,train,blur,images/train_000019_blur_IQU982.png,masks/train_000019_blur_IQU982_mask.png,240,80,6
